CODE,NAME,MALE_POPULATION,FEMALE_POPULATION,TOTAL_POPULATION
1707052,URAM JAYA,2543,2544,5087
1707053,PINANG BELAPIS,2342,2123,4465
1708,KEPAHIANG,64040,60971,125011
1708010,MUARA KEMUMU,6587,5872,12459
1708020,BERMANI ILIR,7058,6519,13577
1708030,SEBERANG MUSI,3415,2991,6406
1708040,TEBAT KARAI,6337,6127,12464
1708050,KEPAHIANG,20477,19997,40474
1708060,KABA WETAN,5463,5141,10604
1708070,UJAN MAS,9771,9520,19291
1708080,MERIGI,4932,4804,9736
1709,BENGKULU TENGAH,50551,48019,98570
1709010,TALANG EMPAT,6784,6184,12968
1709020,KARANG TINGGI ,5791,5410,11201
1709030,TABA PENANJUNG,5573,5425,10998
1709031,MERIGI KELINDANG,3204,3055,6259
1709040,PAGAR JATI,2837,2775,5612
1709041,MERIGI SAKTI,2921,2838,5759
1709050,PONDOK KELAPA,12932,12251,25183
1709051,PONDOK KUBANG,4114,3789,7903
1709060,PEMATANG TIGA,3376,3457,6833
1709061,BANG HAJI,3019,2835,5854
1771,KOTA BENGKULU,155372,153384,308756
1771010,SELEBAR,23351,22661,46012
1771011,KAMPUNG MELAYU,14485,13857,28342
1771020,GADING CEMPAKA,39404,39470,78874
1771021,RATU AGUNG,24711,24404,49115
1771022,RATU SAMBAN,12223,12610,24833
1771030,TELUK SEGARA,11668,12210,23878
1771031,SUNGAI SERUT,10988,10860,21848
1771040,MUARA BANGKA HULU,18542,17312,35854
1800,LAMPUNG,3905366,3690749,7596115
1801,LAMPUNG BARAT,222161,196399,418560
1801010,PESISIR SELATAN,11152,10268,21420
1801011,BENGKUNAT,3927,3519,7446
1801012,BENGKUNAT BELIMBING,12734,10901,23635
1801013,NGAMBUR,9184,8584,17768
1801020,PESISIR TENGAH,17871,16458,34329
1801021,KARYA PENGGAWA,7321,6553,13874
1801030,PESISIR UTARA,4941,4383,9324
1801031,LEMONG,7591,6568,14159
1801040,BALIK BUKIT,18178,16809,34987
1801041,SUKAU,14333,12594,26927
1801050,BELALAU,13982,11521,25503
1801051,SEKINCAU,20201,16549,36750
1801052,SUOH,23452,19122,42574
1801053,BATU BRAK,6644,6046,12690
1801060,SUMBER JAYA,21381,19645,41026
1801061,WAY TENONG,21877,20159,42036
1801062,GEDUNG SURIAN,7392,6720,14112
1802,TANGGAMUS,279355,255240,534595
1802010,WONOSOBO,17710,16378,34088
1802011,SEMAKA,17870,16349,34219
1802012,BANDAR NEGERI SEMUONG ,9625,8465,18090
1802020,KOTA AGUNG,20178,19088,39266
1802021,PEMATANG SAWA,8536,7079,15615
1802022,KOTA AGUNG TIMUR,9095,8554,17649
1802023,KOTA AGUNG BARAT,10925,9642,20567
1802030,PULAU PANGGUNG,16446,15350,31796
1802031,ULUBELU,19996,17510,37506
1802032,AIR NANINGAN,14451,12637,27088
1802040,TALANG PADANG,21895,21243,43138
1802041,SUMBEREJO,15842,14977,30819
1802042,GISTING,18497,17412,35909
1802043,GUNUNG ALIP,8929,8250,17179
1802050,PUGUNG,27061,25184,52245
1802101,BULOK,10230,9252,19482
1802110,CUKUH BALAK,11362,9734,21096
1802111,KELUMBAYAN,5680,4873,10553
1802112,LIMAU,9069,7872,16941
1802113,KELUMBAYAN BARAT,5958,5391,11349
1803,LAMPUNG SELATAN,468445,441544,909989
1803060,NATAR,87244,83667,170911
1803070,JATI AGUNG,53195,49423,102618
1803080,TANJUNG BINTANG,34795,33364,68159
1803081,TANJUNG SARI,13920,13202,27122
1803090,KATIBUNG,31588,29731,61319
1803091,MERBAU MATARAM,23858,22401,46259
1803092,WAY SULAN,10938,10322,21260
1803100,SIDOMULYO,29317,27682,56999
1803101,CANDIPURO,25795,24476,50271
1803102,WAY PANJI,8365,8186,16551
1803110,KALIANDA,42191,38500,80691
1803111,RAJABASA,10984,9782,20766
1803120,PALAS,27236,26093,53329
1803121,SRAGI,16111,15386,31497
1803130,PENENGAHAN,18428,17165,35593
1803131,KETAPANG,23710,22256,45966
1803132,BAKAUHENI,10770,9908,20678
1804,LAMPUNG TIMUR,487217,463357,950574
1804010,METRO KIBANG,10591,10235,20826
1804020,BATANGHARI,27399,27087,54486
1804030,SEKAMPUNG,30245,29360,59605
1804040,MARGATIGA,22344,21051,43395
1804050,SEKAMPUNG UDIK,34797,33117,67914
1804060,JABUNG,23900,22485,46385
1804061,PASIR SAKTI ,17691,16681,34372
1804062,WAWAY KARYA,17681,16790,34471
1804063,MARGA SEKAPUNG,13427,12695,26122
1804070,LABUHAN MARINGGAI,34005,31732,65737
1804071,MATARAM BARU,13650,13042,26692
1804072,BANDAR SRIBAWONO,23772,22286,46058
1804073,MELINTING,12749,11807,24556
1804074,GUNUNG PELINDUNG,10808,10194,21002
1804080,WAY JEPARA,26295,24624,50919
1804081,BRAJA SLEBAH,11220,10434,21654
1804082,LABUHAN RATU,21377,20095,41472
1804090,SUKADANA,33093,30983,64076
1804091,BUMI AGUNG,8531,8488,17019
1804092,BATANGHARI NUBAN,21040,19982,41022
1804100,PEKALONGAN,23031,22119,45150
1804110,RAMAN UTARA,18244,17465,35709
1804120,PURBOLINGGO,20297,19832,40129
1804121,WAY BUNGUR,11030,10773,21803
1805,LAMPUNG TENGAH,597867,572181,1170048
1805010,PADANG RATU,24296,23129,47425
1805011,SELAGAI LINGGA,16130,15103,31233
1805012,PUBIAN,20733,19798,40531
1805013,ANAK TUHA,17937,17241,35178
1805014,ANAK RATU AJI,7906,7463,15369
1805020,KALIREJO,32186,30624,62810
1805021,SENDANG AGUNG,18523,17454,35977
1805030,BANGUNREJO,28115,27077,55192
1805040,GUNUNG SUGIH,31360,30327,61687
1805041,BEKRI,12721,12308,25029
1805042,BUMI RATU NUBAN,14635,13854,28489
1805050,TRIMURJO,24834,23864,48698
1805060,PUNGGUR,18328,17571,35899
1805061,KOTA GAJAH,16046,15556,31602
1805070,SEPUTIH RAMAN,23051,22625,45676
1805080,TERBANGGI BESAR,54217,53266,107483
1805081,SEPUTIH AGUNG,23326,22590,45916
1805082,WAY PENGUBUAN,18685,18230,36915
1805090,TERUSAN NUNYAI,22591,21781,44372
1805100,SEPUTIH MATARAM,23254,22277,45531
1805101,BANDAR MATARAM,37972,34455,72427
1805110,SEPUTIH BANYAK,21106,20440,41546
1805111,WAY SEPUTIH,8587,8264,16851
1805120,RUMBIA,17296,16197,33493
1805121,BUMI NABUNG,15764,14999,30763
1805122,PUTRA RUMBIA,8908,8300,17208
1805130,SEPUTIH SURABAYA,22658,21609,44267
1805131,BANDAR SURABAYA,16702,15779,32481
1806,LAMPUNG UTARA ,297702,286223,583925
1806010,BUKIT KEMUNING,19750,18941,38691
1806011,ABUNG TINGGI,8205,7763,15968
1806020,TANJUNG RAJA,15303,14558,29861
1806030,ABUNG BARAT,9457,9098,18555
1806031,ABUNG TENGAH,7920,7500,15420
1806032,ABUNG KUNANG,4682,4636,9318
1806033,ABUNG PEKURUN,5794,5304,11098
1806040,KOTABUMI,26280,25612,51892
1806041,KOTABUMI UTARA,15385,14723,30108
1806042,KOTABUMI SELATAN,32068,32053,64121
1806050,ABUNG SELATAN,23782,23023,46805
1806051,ABUNG SEMULI,12047,11510,23557
1806052,BLAMBANGAN PAGAR,8870,8404,17274
1806060,ABUNG TIMUR,17181,16595,33776
1806061,ABUNG SURAKARTA,13521,13318,26839
1806070,SUNGKAI SELATAN,10849,10350,21199
1806071,MUARA SUNGKAI,7356,6850,14206
1806072,BUNGA MAYANG,16513,15485,31998
1806073,SUNGKAI BARAT,6064,5755,11819
1806074,SUNGKAI JAYA,5027,4812,9839
1806080,SUNGKAI UTARA,16651,15726,32377
1806081,HULU SUNGKAI,6974,6753,13727
1806082,SUNGKAI TENGAH,8023,7454,15477
1807,WAY KANAN,210061,196674,406735
1807010,BANJIT,21638,20339,41977
1807020,BARADATU,19192,18523,37715
1807021,GUNUNG LABUHAN,13647,13254,26901
1807030,KASUI,15139,14595,29734
1807031,REBANG TANGKAS,10415,9483,19898
1807040,BLAMBANGAN UMPU,28160,26658,54818
1807041,WAY TUBA,10589,9762,20351
1807042,NEGERI AGUNG,16917,15784,32701
1807050,BAHUGA,4913,4849,9762
1807051,BUAY BAHUGA,9854,9157,19011
1807052,BUMI AGUNG,12742,11839,24581
1807060,PAKUAN RATU,19795,17678,37473
1807061,NEGARA BATIN,17662,16009,33671
1807062,NEGERI BESAR,9398,8744,18142
1808,TULANG BAWANG,205996,191083,397079
1808030,BANJAR AGUNG,18117,17191,35308
1808031,BANJAR MARGO,19102,17492,36594
1808032,BANJAR BARU,6386,6029,12415
1808040,GEDUNG AJI,6252,5736,11988
1808041,PENAWAR AJI,8958,8103,17061
1808042,MERAKSA AJI ,6711,6198,12909
1808050,MENGGALA,20746,20157,40903
1808051,PENAWAR TAMA,13430,12376,25806
1808052,RAWA JITU SELATAN,15885,14673,30558
1808053,GEDUNG MENENG,19861,16779,36640
1808054,RAWA JITU TIMUR,14566,14483,29049
1808055,RAWA PITU,8573,7336,15909
1808056,GEDUNG AJI BARU,10879,9736,20615
1808057,DENTE TELADAS,30470,29062,59532
1808058,MENGGALA TIMUR,6060,5732,11792
1809,PESAWARAN,204934,192360,397294
1809010,PUNDUH PIDADA,13650,12269,25919
1809020,PADANG CERMIN,45922,42135,88057
1809030,KEDONDONG,30007,27484,57491
1809040,WAY LIMA,15359,14384,29743
1809050,GEDONG TATAAN,43386,42310,85696
1809060,NEGERI KATON,31157,29526,60683
1809070,TEGINENENG,25453,24252,49705
1810,PRINGSEWU,187440,177385,364825
1810010,PARDASUKA,16792,15481,32273
1810020,AMBARAWA,16500,15733,32233
1810030,PAGELARAN,30708,28193,58901
1810040,PRINGSEWU,38497,37538,76035
1810050,GADING REJO,35406,33420,68826
1810060,SUKOHARJO,22867,21846,44713
1810070,BANYUMAS,9830,9168,18998
1810080,ADI LUWIH,16840,16006,32846
1811,MESUJI,98159,89127,187286
1811010,WAY SERDANG,21333,19395,40728
1811020,SIMPANG PEMATANG,12050,11110,23160
1811030,PANCA JAYA,8068,7230,15298
1811040,TANJUNG RAYA,17638,16145,33783
1811050,MESUJI,10504,9543,20047
1811060,MESUJI TIMUR,15764,14104,29868
1811070,RAWA JITU UTARA,12802,11600,24402
1812,TULANG BAWANG BARAT,128831,121377,250208
1812010,TULANG BAWANG UDIK,15233,14675,29908
1812020,TUMIJAJAR,20549,19857,40406
1812030,TULANG BAWANG TENGAH,39357,37109,76466
1812040,PAGAR DEWA,2632,2526,5158
1812050,LAMBU KIBANG,11209,10541,21750
1812060,GUNUNG TERANG,15739,14349,30088
1812070,GUNUNG AGUNG,14602,13484,28086
1812080,WAY KENANGA ,9510,8836,18346
1871,KOTA BANDAR LAMPUNG,444373,435278,879651
1871010,TELUK BETUNG BARAT,30785,28850,59635
1871020,TELUK BETUNG SELATAN,46642,44613,91255
1871030,PANJANG,32358,30896,63254
1871040,TANJUNG KARANG TIMUR,44430,44045,88475
1871050,TELUK BETUNG UTARA,31391,30899,62290
1871060,TANJUNG KARANG PUSAT,35870,36797,72667
1871070,TANJUNG KARANG BARAT,32141,31307,63448
1871071,KEMILING,35427,35287,70714
1871080,KEDATON,43714,43673,87387
1871081,RAJABASA,23076,21592,44668
1871082,TANJUNG SENANG,20682,20509,41191
1871090,SUKARAME,35524,35355,70879
1871091,SUKABUMI,32333,31455,63788
1872,KOTA METRO,72825,72521,145346
1872011,METRO SELATAN,7074,7067,14141
1872012,METRO BARAT,12837,12471,25308
1872021,METRO TIMUR,17367,17573,34940
1872022,METRO PUSAT,22875,23134,46009
1872023,METRO UTARA,12672,12276,24948
1900,KEPULAUAN BANGKA BELITUNG,634783,588265,1223048
1901,BANGKA,144285,132908,277193
1901070,MENDO BARAT,22051,20241,42292
1901080,MERAWANG,13553,12509,26062
1901081,PUDING BESAR,8610,7765,16375
1901090,SUNGAI LIAT,42699,39964,82663
1901091,PEMALI,13032,12123,25155
1901092,BAKAM,8899,7767,16666
1901130,BELINYU,23023,21319,44342
1901131,RIAU SILIP,12418,11220,23638
1902,BELITUNG,80647,75277,155924
1902010,MEMBALONG,12554,11634,24188
1902060,TANJUNG PANDAN,44106,41868,85974
1902061,BADAU,6836,5939,12775
1902062,SIJUK,13878,12779,26657
1902063,SELAT NASIK,3273,3057,6330
1903,BANGKA BARAT,91201,83909,175110
1903010,KELAPA,15896,14660,30556
1903020,TEMPILANG,12520,11867,24387
1903030,MENTOK,23679,21719,45398
1903040,SIMPANG TERITIP,13733,12834,26567
1903050,JEBUS ,25373,22829,48202
1904,BANGKA TENGAH,84394,76681,161075
1904010,KOBA,18175,16558,34733
1904011,LUBUK BESAR,11925,10608,22533
1904020,PANGKALAN BARU,19454,18041,37495
1904021,NAMANG,7402,6592,13994
1904030,SUNGAI SELAN,15936,14110,30046
1904040,SIMPANG KATIS,11502,10772,22274
1905,BANGKA SELATAN,89417,83059,172476
1905010,PAYUNG,9648,8975,18623
1905011,PULAU BESAR,4370,3817,8187
1905020,SIMPANG RIMBA,10937,10231,21168
1905030,TOBOALI,33578,31513,65091
1905031,TUKAK SADAI,5162,4724,9886
1905040,AIR GEGAS,19614,18192,37806
1905050,LEPAR PONGOK,6108,5607,11715
1906,BELITUNG TIMUR,55361,51071,106432
1906010,DENDANG,4919,4394,9313
1906011,SIMPANG PESAK,3837,3555,7392
1906020,GANTUNG,11642,10806,22448
1906021,SIMPANG RENGGIANG,3467,3185,6652
1906030,MANGGAR,17226,16127,33353
1906031,DAMAR,5829,5258,11087
1906040,KELAPA KAMPIT,8441,7746,16187
1971,KOTA PANGKALPINANG,89478,85360,174838
1971010,RANGKUI,20388,19562,39950
1971020,BUKIT INTAN,21955,21366,43321
1971030,PANGKAL BALAM,21132,20016,41148
1971040,TAMAN SARI,6717,6429,13146
1971041,GERUNGGANG,19286,17987,37273
2100,KEPULAUAN RIAU,864333,821365,1685698
2101,KARIMUN,108902,103910,212812
2101010,MORO,9055,8473,17528
2101011,DURAI,3041,2787,5828
2101020,KUNDUR,16798,17047,33845
2101021,KUNDUR UTARA,8777,8253,17030
2101022,KUNDUR BARAT,8311,7828,16139
2101030,KARIMUN,21733,20849,42582
2101031,BURU,4603,4379,8982
2101032,MERAL,23478,21527,45005
2101033,TEBING,13106,12767,25873
2102,BINTAN,73677,68705,142382
2102040,TELUK BINTAN,4753,4190,8943
2102050,BINTAN UTARA,10651,10547,21198
2102051,TELUK SEBONG,8537,7438,15975
2102052,SERI KUALA LOBAM,8020,9629,17649
2102060,BINTAN TIMUR,20371,18809,39180
2102061,GUNUNG KIJANG,6538,5386,11924
2102062,MANTANG,2124,1770,3894
2102063,BINTAN PESISIR,4387,3641,8028
2102064,TOAPAYA,5722,4895,10617
2102070,TAMBELAN,2574,2400,4974
2103,NATUNA ,35870,33449,69319
2103030,MIDAI,2526,2489,5015
2103040,BUNGURAN BARAT,5583,5244,10827
2103041,BUNGURAN UTARA,1966,1841,3807
2103042,PULAU LAUT,1184,1016,2200
2103043,PULAU TIGA,2581,2241,4822
2103050,BUNGURAN TIMUR,12021,11209,23230
2103051,BUNGURAN TIMUR LAUT,2215,2081,4296
2103052,BUNGURAN TENGAH,1479,1351,2830
2103053,BUNGURAN SELATAN,1304,1231,2535
2103060,SERASAN,2290,2168,4458
2103061,SUBI,1301,1275,2576
2103062,SERASAN TIMUR,1420,1303,2723
2104,LINGGA,44251,41979,86230
2104010,SINGKEP BARAT,7472,7067,14539
2104020,SINGKEP,13498,13160,26658
2104030,LINGGA,8598,8034,16632
2104040,LINGGA UTARA,4978,4720,9698
2104050,SENAYANG,9705,8998,18703
2105,ANAMBAS,19464,18029,37493
2105010,JEMAJA,2880,2738,5618
2105020,JEMAJA TIMUR,1077,949,2026
2105030,SIANTAN SELATAN,1642,1537,3179
2105040,SIANTAN,5184,4777,9961
2105050,SIANTAN TIMUR,1706,1594,3300
2105060,SIANTAN TENGAH,1463,1310,2773
2105070,PALMATAK,5512,5124,10636
2171,KOTA BATAM,486404,463371,949775
2171010,BELAKANG PADANG,9146,8928,18074
2171020,BULANG,5114,4460,9574
2171030,GALANG,8367,6986,15353
2171040,SEI BEDUK,34886,45646,80532
2171041,SAGULUNG,80917,68025,148942
2171050,NONGSA,26713,23196,49909
2171051,BATAM KOTA,82122,81094,163216
2171060,SEKUPANG,51941,48691,100632
2171061,BATU AJI,67146,60858,128004
2171070,LUBUK BAJA,43266,42471,85737
2171080,BATU AMPAR,30952,27971,58923
2171081,BENGKONG,45834,45045,90879
2172,KOTA TANJUNGPINANG,95765,91922,187687
2172010,BUKIT BESTARI,27237,26560,53797
2172020,TANJUNGPINANG TIMUR,36489,34685,71174
2172030,TANJUNGPINANG KOTA,8721,8176,16897
2172040,TANJUNGPINANG BARAT,23318,22501,45819
3100,DKI JAKARTA,4859272,4728926,9588198
3101,KEPULAUAN SERIBU,10695,10376,21071
3101010,KEPULAUAN SERIBU SELATAN,4203,4126,8329
3101020,KEPULAUAN SERIBU UTARA,6492,6250,12742
3171,KOTA JAKARTA SELATAN,1039677,1017403,2057080
3171010,JAGAKARSA,158929,152555,311484
3171020,PASAR MINGGU,146186,141214,287400
3171030,CILANDAK,94091,94988,189079
3171040,PESANGGRAHAN,107714,103375,211089
3171050,KEBAYORAN LAMA,148478,145630,294108
3171060,KEBAYORAN BARU,70896,70926,141822
3171070,MAMPANG PRAPATAN,72687,68985,141672
3171080,PANCORAN,74345,73164,147509
3171090,TEBET,103937,105246,209183
3171100,SETIA BUDI,62414,61320,123734
3172,KOTA JAKARTA TIMUR,1368857,1318170,2687027
3172010,PASAR REBO,95640,92131,187771
3172020,CIRACAS,129123,123876,252999
3172030,CIPAYUNG,116569,112090,228659
3172040,MAKASAR,93932,91713,185645
3172050,KRAMAT JATI,137921,134243,272164
3172060,JATINEGARA ,137046,127855,264901
3172070,DUREN SAWIT,192047,189917,381964
3172080,CAKUNG,262212,240962,503174
3172090,PULO GADUNG,129796,131306,261102
3172100,MATRAMAN,74571,74077,148648
3173,KOTA JAKARTA PUSAT,453505,445378,898883
3173010,TANAH ABANG,74412,70890,145302
3173020,MENTENG,33262,34007,67269
3173030,SENEN,45493,45397,90890
3173040,JOHAR BARU,58964,57395,116359
3173050,CEMPAKA PUTIH,43053,40795,83848
3173060,KEMAYORAN,108896,106146,215042
3173070,SAWAH BESAR,49383,50808,100191
3173080,GAMBIR,40042,39940,79982
3174,JAKARTA BARAT,1162379,1116446,2278825
3174010,KEMBANGAN,136971,135109,272080
3174020,KEBON JERUK,168316,165107,333423
3174030,PALMERAH,102104,96871,198975
3174040,GROGOL PETAMBURAN,110042,113214,223256
3174050,TAMBORA,123287,113106,236393
3174060,TAMAN SARI,54732,54954,109686
3174070,CENGKARENG,264284,246514,510798
3174080,KALI DERES,202643,191571,394214
3175,JAKARTA UTARA,824159,821153,1645312
3175010,PENJARINGAN,152584,153767,306351
3175020,PADEMANGAN,76962,72634,149596
3175030,TANJUNG PRIOK,189757,185438,375195
3175040,KOJA,146761,141465,288226
3175050,KELAPA GADING,73103,81465,154568
3175060,CILINCING,184992,186384,371376
3200,JAWA BARAT,21876572,21145254,43021826
3201,BOGOR,2446251,2316958,4763209
3201010,NANGGUNG,44370,41113,85483
3201020,LEUWILIANG,58839,55244,114083
3201021,LEUWISADENG,37080,33800,70880
3201030,PAMIJAHAN,69079,64755,133834
3201040,CIBUNGBULANG,64967,60600,125567
3201050,CIAMPEA,75527,71081,146608
3201051,TENJOLAYA,28110,26660,54770
3201060,DRAMAGA,50995,49657,100652
3201070,CIOMAS,76027,72526,148553
3201071,TAMANSARI,47590,44309,91899
3201080,CIJERUK,41038,36985,78023
3201081,CIGOMBONG,45361,42984,88345
3201090,CARINGIN,58775,55348,114123
3201100,CIAWI,53067,49434,102501
3201110,CISARUA,58188,54147,112335
3201120,MEGAMENDUNG,50477,46058,96535
3201130,SUKARAJA,86748,82123,168871
3201140,BABAKAN MADANG,53343,49865,103208
3201150,SUKAMAKMUR,38310,35531,73841
3201160,CARIU,23244,22930,46174
3201161,TANJUNGSARI ,25474,24513,49987
3201170,JONGGOL,62690,60363,123053
3201180,CILEUNGSI,125043,120998,246041
3201181,KELAPA NUNGGAL,49176,46196,95372
3201190,GUNUNG PUTRI,155133,157549,312682
3201200,CITEUREUP,101316,96881,198197
3201210,CIBINONG,166455,160590,327045
3201220,BOJONG GEDE,121542,115834,237376
3201221,TAJUR HALANG,49714,47461,97175
3201230,KEMANG,47112,44628,91740
3201231,RANCA BUNGUR,25970,24183,50153
3201240,PARUNG,55449,52239,107688
3201241,CISEENG,50673,46848,97521
3201250,GUNUNG SINDUR,52844,49997,102841
3201260,RUMPIN,66981,61423,128404
3201270,CIGUDEG,61261,55712,116973
3201271,SUKAJAYA,29103,26570,55673
3201280,JASINGA,48170,44863,93033
3201290,TENJO,34202,31969,66171
3201300,PARUNG PANJANG,56808,52991,109799
3202,SUKABUMI,1191489,1147859,2339348
3202010,CIEMAS,24723,23413,48136
3202020,CIRACAP,24407,23080,47487
3202021,WALURAN,13492,12442,25934
3202030,SURADE,36529,35484,72013
3202031,CIBITUNG,12759,12329,25088
3202040,JAMPANG KULON,20835,20503,41338
3202041,CIMANGGU,11219,10906,22125
3202050,KALI BUNDER,13707,13390,27097
3202060,TEGAL BULEUD,17055,16315,33370
3202070,CIDOLOG,8838,8675,17513
3202080,SAGARANTEN,24042,23265,47307
3202081,CIDADAP,9525,9286,18811
3202082,CURUGKEMBAR,14644,13748,28392
3202090,PABUARAN,20254,19224,39478
3202100,LENGKONG,14908,14275,29183
3202110,PELABUHAN RATU,49136,47402,96538
3202111,SIMPENAN,24429,23800,48229
3202120,WARUNG KIARA,28230,26744,54974
3202121,BANTARGADUNG,18168,17157,35325
3202130,JAMPANG TENGAH,31715,30755,62470
3202131,PURABAYA,20107,19419,39526
3202140,CIKEMBAR,40056,38975,79031
3202150,NYALINDUNG,23732,22468,46200
3202160,GEGER BITUNG,18753,17660,36413
3202170,SUKARAJA,39467,37704,77171
3202171,KEBONPEDES,13805,13357,27162
3202172,CIREUNGHAS ,16027,15342,31369
3202173,SUKALARANG,21140,20133,41273
3202180,SUKABUMI,23556,22598,46154
3202190,KADUDAMPIT,26080,24137,50217
3202200,CISAAT,58613,55290,113903
3202201,GUNUNGGURUH,24591,23334,47925
3202210,CIBADAK,54794,52673,107467
3202211,CICANTAYAN,26903,25884,52787
3202212,CARINGIN,22100,20986,43086
3202220,NAGRAK,39536,38397,77933
3202221,CIAMBAR,19075,17477,36552
3202230,CICURUG,62035,61162,123197
3202240,CIDAHU,30657,29904,60561
3202250,PARAKAN SALAK,19749,19679,39428
3202260,PARUNG KUDA,33279,36055,69334
3202261,BOJONG GENTENG,17878,16995,34873
3202270,KALAPA NUNGGAL,22541,21864,44405
3202280,CIKIDANG,28747,27663,56410
3202290,CISOLOK,31753,30228,61981
3202291,CIKAKAK,19077,18171,37248
3202300,KABANDUNGAN,18823,18111,36934
3203,CIANJUR,1120550,1047964,2168514
3203010,AGRABINTA,18864,17882,36746
3203011,LELES,16490,15349,31839
3203020,SINDANGBARANG,26585,25061,51646
3203030,CIDAUN,32947,31522,64469
3203040,NARINGGUL,23153,21445,44598
3203050,CIBINONG,30128,27780,57908
3203051,CIKADU,17905,16986,34891
3203060,TANGGEUNG,22734,21264,43998
3203061,PASIRKUDA,17796,16619,34415
3203070,KADUPANDAK,24865,23658,48523
3203071,CIJATI,16574,16103,32677
3203080,TAKOKAK,25908,24872,50780
3203090,SUKANAGARA,24818,24166,48984
3203100,PAGELARAN,35303,32536,67839
3203110,CAMPAKA,32656,31051,63707
3203111,CAMPAKA MULYA,12137,11561,23698
3203120,CIBEBER,59875,55939,115814
3203130,WARUNGKONDANG,33488,31260,64748
3203131,GEKBRONG,26612,24541,51153
3203140,CILAKU,49803,46453,96256
3203150,SUKALUYU,36151,33333,69484
3203160,BOJONGPICUNG,36856,34106,70962
3203161,HAURWANGI,27753,25736,53489
3203170,CIRANJANG,38116,36235,74351
3203180,MANDE,35582,33493,69075
3203190,KARANGTENGAH ,69680,64607,134287
3203200,CIANJUR,81306,76934,158240
3203210,CUGENANG,52227,47291,99518
3203220,PACET,50344,46331,96675
3203221,CIPANAS,53929,49988,103917
3203230,SUKARESMI,41423,38299,79722
3203240,CIKALONGKULON,48542,45563,94105
3204,BANDUNG,1617513,1556986,3174499
3204010,CIWIDEY,36534,35356,71890
3204011,RANCABALI,23951,23433,47384
3204020,PASIRJAMBU,40354,38758,79112
3204030,CIMAUNG,36788,35772,72560
3204040,PANGALENGAN,69589,68560,138149
3204050,KERTASARI,32987,32251,65238
3204060,PACET,51788,48558,100346
3204070,IBUN,38194,36844,75038
3204080,PASEH,60501,57608,118109
3204090,CIKANCUNG,41479,39549,81028
3204100,CICALENGKA,54790,53159,107949
3204101,NAGREG,24743,23702,48445
3204110,RANCAEKEK,82148,82492,164640
3204120,MAJALAYA,77230,73081,150311
3204121,SOLOKAN,38196,36777,74973
3204130,CIPARAY,76272,73171,149443
3204140,BALEENDAH,112754,107661,220415
3204150,ARJASARI,45960,44280,90240
3204160,BANJARAN,57531,55458,112989
3204161,CANGKUANG,32349,31206,63555
3204170,PAMEUNGPEUK,34936,33695,68631
3204180,KATAPANG,55009,52796,107805
3204190,SOREANG,52737,50309,103046
3204191,KUTAWARINGIN,45346,42842,88188
3204250,MARGAASIH,67892,64431,132323
3204260,MARGAHAYU,60578,58898,119476
3204270,DAYEUHKOLOT,58059,55561,113620
3204280,BOJONGSOANG,52051,49560,101611
3204290,CILEUNYI,81082,78498,159580
3204300,CILENGKRANG,23255,22547,45802
3204310,CIMENYAN,52430,50173,102603
3205,GARUT,1216139,1185109,2401248
3205010,CISEWU,16690,16320,33010
3205011,CARINGIN,15036,14438,29474
3205020,TALEGONG,15426,15294,30720
3205030,BUNGBULANG,29985,29544,59529
3205031,MEKARMUKTI,7821,7780,15601
3205040,PAMULIHAN,8800,8767,17567
3205050,PAKENJENG ,33257,32442,65699
3205060,CIKELET,20640,20358,40998
3205070,PAMEUNGPEUK,19365,19496,38861
3205080,CIBALONG,20730,20422,41152
3205090,CISOMPET,25030,24706,49736
3205100,PEUNDEUY,11405,10971,22376
3205110,SINGAJAYA,22763,22634,45397
3205111,CIHURIP,9116,8787,17903
3205120,CIKAJANG,39402,38561,77963
3205130,BANJARWANGI,28615,27595,56210
3205140,CILAWU,50626,49379,100005
3205150,BAYONGBONG,47231,45880,93111
3205151,CIGEDUG,19388,18502,37890
3205160,CISURUPAN,48334,46645,94979
3205161,SUKARESMI,18758,18316,37074
3205170,SAMARANG,35896,35255,71151
3205171,PASIRWANGI,31599,30264,61863
3205181,TAROGONG KIDUL,54481,53342,107823
3205182,TAROGONG KALER,42802,41895,84697
3205190,GARUT KOTA,63846,62652,126498
3205200,KARANGPAWITAN,58735,57193,115928
3205210,WANARAJA,22026,22132,44158
3205211,SUCINARAJA,13246,12728,25974
3205212,PANGATIKAN,19510,18876,38386
3205220,SUKAWENING,24693,24991,49684
3205221,KARANG TENGAH,7991,8087,16078
3205230,BANYURESMI,42772,41216,83988
3205240,LELES,38532,37518,76050
3205250,LEUWIGOONG,21012,20482,41494
3205260,CIBATU,34372,33378,67750
3205261,KERSAMANAH,18119,17351,35470
3205270,CIBIUK,15608,14748,30356
3205280,KADUNGORA,44151,42382,86533
3205290,BLUBUR LIMBANGAN,38896,37469,76365
3205300,SELAAWI,18832,18309,37141
3205310,MALANGBONG,60602,58004,118606
3206,TASIKMALAYA,835052,840492,1675544
3206010,CIPATUJAH,31492,31288,62780
3206020,KARANGNUNGGAL,40089,40865,80954
3206030,CIKALONG,30443,31130,61573
3206040,PANCATENGAH,22286,22280,44566
3206050,CIKATOMAS,23860,23793,47653
